Video Name,Outer Eyebrow Height,Inner Eyebrow Height,Outer Lip Height,Inner Lip Height,Inner Eyebrow Distance,Lip Corner Distance,Eye Opening,Average Smile Score,Length,Average Band Energy,Avg Intensity,Max Intensity,Mean Intensity,Range Intensity,SD Intensity,Avg Pitch,Max Pitch,Mean Pitch,Range Pitch,SD Pitch,Mean F1,Mean F2,Mean F3,Mean B1,Mean B2,Mean B3,SD F1,SD F2,SD F3,Mean F2/F1,Mean F3/F1,SD F2/F1,SD F3/F1
video1,5.962248351,10.02472263,11.24179046,1.987505315,11.05841352,32.03360657,4.322647576,11.85344828,143.6265079,0.035096762,66.63691733,76.57986195,40.17040399,36.40945796,8.424905865,164.7863265,359.4598904,90.99315743,268.466733,28.2414135,618.1487514,1652.499566,2714.121094,428.5334827,396.0859828,411.2271015,273.9530907,412.6968592,345.9690933,3.071027265,5.03061506,1.569352987,2.131742004
video2,5.790546444,9.310438659,9.569558886,1.303141959,10.0129437,28.60993645,4.319179702,9.165859564,100.6289569,0.002172301,56.1291329,68.7785445,39.39996187,29.37858263,5.867890244,124.5880378,475.2769156,82.44192013,392.8349955,67.51641992,629.4184605,1549.703817,2735.504705,377.0567602,584.5037019,668.0407375,165.5789155,336.3905554,337.7919899,2.590426817,4.575148506,0.763649738,1.085047289
video3,5.012008692,9.32664596,9.256557097,1.311983587,8.039125729,27.5371521,3.650630567,21.84836852,266.6371202,0.081319538,68.10617943,78.43344839,41.35964136,37.07380703,7.015594472,156.9019088,582.1853298,85.43057843,496.7547513,54.6728055,632.5164999,1579.89283,2582.487224,277.5996117,267.3124598,341.8322473,146.9693574,312.4121783,222.1230758,2.645433834,4.284660162,0.944709439,1.081581693
video4,5.806903074,9.999770459,10.45138745,1.990414603,8.778345802,26.82712451,3.830323743,19.11330512,185.6314059,0.029760818,65.11292946,77.27830351,40.61044971,36.6678538,7.588104608,242.2128609,457.840912,111.6545986,346.1863135,35.58102195,703.0377193,1814.788575,2814.410709,346.7536841,489.1101228,503.009575,234.9697577,394.5717051,271.1061469,2.889990249,4.469815823,1.256940232,1.623896651
video5,6.651081252,12.30719966,12.83105056,2.814635592,11.56333444,29.06577602,4.292783292,5.778496611,200.6256916,0.032324292,64.67312924,75.80221617,39.50895201,36.29326416,7.624557023,185.485845,529.9573333,79.36784728,450.589486,34.77615224,582.2185815,1680.282191,2661.381707,304.1656019,436.5207166,546.3995662,183.4889862,373.627953,332.1881335,3.154591335,4.950153109,1.261764447,1.572760179
video6,6.159291254,11.15881115,12.07575615,2.331014938,10.24577542,29.34760926,4.270196913,5.147946449,435.1269161,0.107604259,66.62392258,78.07670203,41.19333715,36.88336488,8.432342513,163.0144864,557.1100067,78.21353886,478.8964679,58.08234474,604.3031173,1639.647155,2676.170607,320.249983,432.5348167,563.7522527,201.7391267,392.8863638,383.3941247,2.961545702,4.797875495,1.238193914,1.617126497
video7,6.005102016,10.79134389,11.96161747,2.210194578,10.17162121,29.01154029,4.226949314,4.871213682,141.6673243,0.009960793,61.30557812,72.98202426,38.13771103,34.84431323,7.695803719,190.2146173,401.0621569,85.81673008,315.2454268,28.55298231,567.3717549,1612.239626,2806.319356,299.8041494,455.8746456,643.9258988,175.769509,377.4618436,314.6159565,3.083793181,5.371030512,1.180029776,1.73065049
video8,6.119661519,10.63862767,11.77472876,2.165820676,10.14019813,28.26299082,4.165534022,4.856292991,170.6109977,0.021282261,63.31817739,75.00522698,40.59035862,34.41486836,6.848357251,281.0048863,422.4966548,94.33912334,328.1575314,48.04227484,701.2539742,1661.81916,2749.647287,323.3615986,512.1017109,626.0859939,188.6233415,378.6229935,304.3768098,2.535714917,4.213419946,0.899473287,1.283614393
video9,6.207793987,10.96481152,11.92542403,2.156105181,10.25711709,28.73767958,4.283430219,5.865537504,109.824059,0.023394554,62.98358471,73.01596602,47.68638423,25.3295818,5.556929429,180.6730056,425.9451361,99.82068756,326.1244485,61.19323318,614.4217544,1698.335156,2736.630381,337.4148832,533.5124659,627.8355377,156.7381058,323.0917041,301.2884271,2.957532533,4.718821241,1.034483043,1.276519582
video10,8.339938835,11.61018715,12.01490581,2.345926776,13.14815403,25.86209314,4.470138751,7.705128205,122.2322222,0.022293082,65.37145144,75.98936759,41.08084905,34.90851854,7.246226426,221.0814382,487.603306,90.04275456,397.5605514,40.90984975,609.5297494,1783.352576,2735.468041,249.3394328,442.277191,481.4464719,169.682074,379.5628192,257.1131884,3.174388226,4.818696748,1.178263898,1.393146865
